text,label
UPDATE parent SET culture = 'perhaps' WHERE clear = 29;,0
"INSERT INTO expect (*) VALUES ('too', 'evening');",1
SELECT * FROM process GROUP BY system HAVING '; EXEC xp_cmdshell('dir'); --;,1
"SELECT COUNT(effort, where, pattern) FROM break WHERE note = 69;",0
SELECT * FROM than JOIN soldier ON '; DROP TABLE users; -- WHERE ' OR 1=1 --;,1
SELECT * FROM might WHERE EXISTS (SELECT 1 FROM might WHERE ' OR 1=1 --);,1
"INSERT INTO whatever (live) VALUES ('begin', 'south');",0
SELECT * FROM western WHERE ' OR 1=1 --;,1
SELECT * FROM two WHERE '; EXEC xp_cmdshell('dir'); -- ORDER BY *;,1
DELETE FROM company WHERE movie = 84;,0
SELECT * FROM assume WHERE ' AND SLEEP(5)--;,1
SELECT * FROM interview WHERE ' AND SLEEP(5)-- ORDER BY *;,1
"SELECT production, reality, pick FROM mean JOIN remember ON offer.open = point.key WHERE say = 2;",0
"UPDATE sport SET side = ' OR 1=1 --, offer = '; EXEC xp_cmdshell('dir'); -- WHERE ' UNION SELECT NULL, username, password FROM admin --;",1
SELECT * FROM reality JOIN few ON '; DROP TABLE users; -- WHERE ' OR 1=1 --;,1
"SELECT * FROM view WHERE ' UNION SELECT NULL, username, password FROM admin -- ORDER BY *;",1
"INSERT INTO agency (into, cause, bed) VALUES ('model', 'news', 'personal');",0
INSERT INTO while (*) VALUES ('again');,1
"SELECT spend, picture, least FROM sit WHERE EXISTS (SELECT 1 FROM sit WHERE speech = 51);",0
SELECT result FROM along WHERE as = 84 ORDER BY result;,0
"SELECT step, culture, similar FROM guess WHERE control = 16;",0
"INSERT INTO street (*) VALUES ('sell', 'record', 'card');",1
"UPDATE west SET discuss = ' UNION SELECT NULL, username, password FROM admin -- WHERE ' UNION SELECT NULL, username, password FROM admin --;",1
"SELECT COUNT(*) FROM even WHERE ' UNION SELECT NULL, username, password FROM admin --;",1
"SELECT COUNT(*) FROM receive WHERE ' UNION SELECT NULL, username, password FROM admin --;",1
"INSERT INTO deep (process) VALUES ('region', 'game');",0
"SELECT * FROM teach JOIN opportunity ON ' UNION SELECT NULL, username, password FROM admin -- WHERE '; DROP TABLE users; --;",1
